hour|min|text|author|book|approved
0|0|В городской церкви били часы только два раза в сутки: в полдень и в полночь. Вскоре после того, как они пробили **полночь**, послышались торопливые шаги.|Антон Чехов|Дуэль|1
0|0|Незаметно мы досидели с ним до **полуночи**. Наконец Дерсу начал дремать. Я закрыл свою тетрадь, завернулся в одеяло, лег поближе к огню и скоро заснул. Ночью сквозь сон я слышал, как он поправлял огонь и прикрывал меня своей палаткой.|Владимир Арсеньев|Дерсу Узала|1
0|0|Время, однако ж, летит; вторые петухи обвестили город, что наступила **полночь**.|Иван Лажечников|Басурман|1
0|0|Смена даты в **полночь** — это просто договоренность физиков и астрономов.|Януш Вишневский|Интимная теория относительности|1
0|0|Я развернул записку и нашел в ней приглашение явиться в эту ночь, ровно в **двенадцать часов**, на мост, который называется Ponte Vecchio.|Вильгельм Гауф|Караван|1
0|5|Туз  пик  –  это,  кажется,  смерть.  Но,  впрочем, глупости, суеверные глупости... Полночь.  **Пять  минут  первого**.  Завтра стало сегодня. У меня сегодня дуэль.|Владимир Набоков|Подлец|1
0|5|"С этой стороны книги конец романа будет следующим: ""Было **пять минут первого**, когда башни с чудовищным взрывом взлетели на  воздух, унося с собой пламя, в котором погибло тело Леандера."""|Милорад Павич|Начало и конец романа|1
0|10|— **Десять минут первого**, — ответил Снорк. Больше никто ничего не сказал. Они слезли с дерева и пошли прямо на запад.|Янссон Туве|Муми-тролль и комета|1
0|14|Было **двенадцать часов и четырнадцать минут**. Это был первый удар большого крымского землетрясения 1927 года. Удар в девять баллов, причинивший неисчислимые бедствия всему полуострову, вырвал сокровище из рук концессионеров.|Илья Ильф, Евгений Петров|Двенадцать стульев|1
0|15|в кухне тихо и сумрачно, рублевые стенные часы, у которых стрелки не двигались, всегда показывали **четверть первого**, стучат необыкновенно четко и торопливо, свинка, зимующая в кухне, стоит возле печки и, до глаз запустив морду в лохань с помоями, роется в них|Иван Бунин|Старуха|1
0|15|– Ой, ой, ой! **Четверть первого**: спать, спать! – заявила Аглаида Васильевна, поднявшись со стула, и, осторожно опустив крышку рояля, потушила свечи.|Николай Гарин-Михайловский|Гимназисты|1
0|20|"Серебряков: Я сейчас задремал, и мне снилось, будто у меня левая нога чужая. Проснулся от мучительной боли. Нет, это не подагра, скорей ревматизм. Который теперь час?
Елена Андреевна: **Двадцать минут первого**."|Антон Чехов|Дядя Ваня|1
0|30|Гости давно разъехались. Часы пробили **половину первого**. В комнате остались только хозяин, да Сергей Николаевич, да Владимир Петрович.|Иван Тургенев|Первая любовь|1
0|45|Несколько человек подошли к старику и уговаривали его замолчать, но он не соглашался. Они напоминали ему, что уже **три четверти первого** и что ему следует отправиться домой без всякого промедления.|Марк Твен|Приключения Гекльберри Финна|1
0|45|"— **Три четверти первого**, — посмотрел на часы Николай Всеволодович, вступая в комнату.
— И при этом дождь и такое интересное расстояние..."|Фёдор Достоевский|Бесы|1
0|55|В ту ночь я собирался перед рассветом проверить боевое охранение и, приказав разбудить меня в четыре ноль-ноль, в девятом часу улегся спать. Меня разбудили раньше: стрелки на светящемся циферблате показывали **без пяти час**.|Владимир Богомолов|Иван|1
1|0|Пробило **час ночи**; в этот мрачный час фантазия сбрасывает оковы рассудка и зловещие возможности приобретают несокрушимость фактов.|Томас Гарди|Тэсс из рода Д'Эрбервиллей|1
1|0|И тотчас же на столе часы нежно пробили **час ночи**.|Антон Чехов|Рассказ неизвестного человека|1
1|15|— И то пора! — согласился Шатов и взглянул на часы. Было **четверть** второго пополуночи.|Николай Гейнце|В тине адвокатуры|1
1|16|В яму необходимо упасть в канун Рождества в **шестнадцать минут второго ночи** (потому что Его Преосвященство упал в яму как раз в это время).|Харуки Мураками|Рождество овцы|1
1|17|Я посмотрел на часы. **Семнадцать минут второго**. Автобус придет через четыре. Задрав голову, я рассеянно смотрел на небо.|Харуки Мураками|Сжечь сарай|1
